Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,MACD,Signal_Line,RSI_14,BB_Upper,BB_Lower
2008-01-10,6156.95,6347.0,6142.9,6278.1,0,6071.51,5913.1,112.86,106.32,80.15,6432.29,5710.73
2008-01-11,6200.1,6224.2,6112.55,6166.65,0,6073.55,5919.73,107.34,106.52,80.94,6436.88,5710.22
2008-01-14,6206.8,6244.15,6172.0,6208.8,0,6080.99,5925.85,102.33,105.69,72.68,6449.04,5712.93
2008-01-15,6074.25,6260.45,6053.3,6226.35,0,6082.31,5930.01,86.66,101.88,50.33,6450.05,5714.58
2008-01-16,5935.75,6065.0,5825.75,6065.0,0,6090.25,5930.08,62.35,93.97,39.02,6436.46,5744.04
2008-01-17,5913.2,6013.15,5880.3,5937.95,0,6098.8,5931.4,40.79,83.34,37.83,6416.08,5781.51
2008-01-18,5705.3,5908.75,5677.0,5907.75,0,6096.5,5929.77,6.85,68.04,24.0,6424.83,5768.18
2008-01-21,5208.8,5705.0,4977.1,5705.0,0,6068.62,5918.3,-59.42,42.55,14.67,6566.11,5571.13
2008-01-22,4899.3,5203.35,4448.5,5203.35,0,6014.33,5902.31,-135.36,6.97,9.96,6736.46,5292.2
2008-01-23,5203.4,5328.05,4891.6,4903.05,0,5970.96,5894.04,-169.05,-28.24,24.36,6778.01,5163.91
2008-01-24,5033.45,5357.2,4995.8,5208.0,0,5918.56,5880.8,-207.08,-64.0,18.6,6825.32,5011.79
2008-01-25,5383.35,5399.25,5035.05,5035.05,0,5883.74,5869.71,-206.6,-92.52,30.7,6817.53,4949.95
2008-01-28,5274.1,5380.95,5071.0,5380.95,0,5840.51,5856.95,-212.59,-116.54,29.07,6804.19,4876.84
2008-01-29,5280.8,5391.6,5225.25,5279.55,0,5797.34,5844.43,-214.32,-136.09,29.46,6780.87,4813.81
2008-01-30,5167.6,5314.3,5142.25,5283.75,0,5746.75,5829.62,-222.27,-153.33,29.48,6751.39,4742.1
2008-01-31,5137.45,5251.65,5071.15,5172.25,0,5694.69,5816.76,-228.37,-168.34,27.84,6712.93,4676.46
2008-02-01,5317.25,5339.95,5090.75,5140.6,0,5646.84,5811.88,-216.2,-177.91,32.7,6640.03,4653.65
2008-02-04,5463.5,5545.2,5315.55,5315.55,0,5606.06,5810.76,-192.53,-180.83,38.18,6555.98,4656.14
2008-02-05,5483.9,5500.6,5412.95,5463.75,0,5565.86,5808.27,-170.17,-178.7,40.84,6460.75,4670.97
2008-02-06,5322.55,5470.4,5257.05,5470.4,0,5518.39,5800.09,-163.58,-175.68,38.66,6354.35,4682.43
2008-02-07,5133.25,5344.6,5113.85,5322.55,0,5467.2,5788.79,-171.66,-174.87,38.94,6262.93,4671.48
2008-02-08,5120.35,5173.85,5034.25,5132.1,0,5413.22,5778.84,-177.06,-175.31,47.9,6143.39,4683.04
2008-02-11,4857.0,5126.4,4803.6,5120.55,0,5345.73,5763.29,-200.28,-180.3,48.97,6013.95,4677.5
2008-02-12,4838.25,4949.6,4820.45,4877.85,0,5283.93,5744.8,-217.69,-187.78,39.69,5894.6,4673.25
2008-02-13,4929.45,4986.55,4836.55,4836.55,0,5233.61,5726.09,-221.57,-194.54,46.93,5780.67,4686.56
2008-02-14,5202.0,5220.25,4944.65,4944.65,0,5198.05,5712.96,-200.34,-195.7,44.39,5641.82,4754.29
2008-02-15,5302.9,5315.4,5104.75,5202.85,0,5177.93,5700.22,-173.38,-191.23,50.9,5556.57,4799.29
2008-02-18,5276.9,5348.6,5224.0,5304.45,0,5181.34,5686.67,-152.35,-183.46,49.88,5562.37,4800.31
2008-02-19,5280.8,5368.45,5262.0,5278.4,0,5200.41,5672.8,-133.83,-173.53,53.73,5559.56,4841.27
2008-02-20,5154.45,5267.15,5116.3,5267.15,0,5197.97,5656.67,-127.88,-164.4,50.53,5557.69,4838.24
2008-02-21,5191.8,5241.35,5120.05,5156.9,0,5205.88,5638.56,-118.77,-155.28,45.73,5557.24,4854.53
2008-02-22,5110.75,5184.0,5092.8,5183.4,0,5192.25,5617.59,-116.75,-147.57,37.45,5535.68,4848.82
2008-02-25,5200.7,5212.35,5055.15,5112.25,0,5188.58,5600.44,-106.66,-139.39,40.4,5529.89,4847.27
2008-02-26,5270.05,5281.2,5200.8,5200.8,0,5188.04,5584.89,-92.01,-129.91,48.1,5528.77,4847.32
2008-02-27,5268.4,5368.15,5249.75,5271.4,0,5193.08,5574.72,-79.61,-119.85,55.65,5535.52,4850.65
2008-02-28,5285.1,5302.85,5227.15,5266.35,0,5200.47,5565.58,-67.66,-109.42,56.87,5544.22,4856.72
2008-02-29,5223.5,5290.8,5098.35,5285.0,0,5195.78,5555.02,-62.44,-100.02,68.37,5535.35,4856.21
2008-03-03,4953.0,5222.8,4936.05,5222.8,0,5170.25,5538.75,-79.22,-95.86,54.59,5501.75,4838.76
2008-03-04,4864.25,4976.7,4812.95,4958.55,0,5139.27,5516.34,-98.54,-96.4,47.38,5463.08,4815.47
2008-03-05,4921.4,4936.75,4847.25,4866.85,0,5119.21,5493.35,-107.99,-98.72,36.39,5444.91,4793.52
2008-03-07,4771.6,4918.3,4672.25,4918.3,0,5101.13,5467.15,-126.12,-104.2,25.41,5461.82,4740.44
2008-03-10,4800.4,4814.95,4620.5,4767.8,0,5085.13,5441.56,-136.59,-110.68,28.0,5469.82,4700.45
2008-03-11,4865.9,4888.5,4732.85,4796.3,0,5085.58,5416.11,-138.01,-116.14,31.87,5469.17,4701.99
