Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,MACD,Signal_Line,RSI_14,BB_Upper,BB_Lower
1997-11-06,3763.96,3766.76,3714.03,3744.39,0,3968.58,3957.18,-51.12,-20.33,27.96,4218.08,3719.08
1997-11-13,3554.1,3616.44,3534.06,3601.3,0,3890.38,3922.93,-93.3,-58.57,2.92,4247.43,3533.33
1997-11-20,3466.86,3504.41,3390.71,3394.27,0,3750.54,3876.72,-127.21,-97.79,12.1,4143.88,3357.2
1997-11-27,3628.07,3645.9,3524.14,3530.68,0,3623.98,3824.71,-106.39,-113.0,42.15,3888.72,3359.24
1997-12-04,3527.1,3595.0,3503.49,3530.31,0,3565.51,3786.79,-76.1,-93.25,46.88,3745.12,3385.9
1997-12-11,3329.14,3344.41,3247.63,3336.33,0,3496.82,3742.25,-95.96,-89.16,35.73,3658.71,3334.94
1997-12-18,3472.35,3525.6,3463.26,3481.95,0,3471.46,3695.36,-71.04,-85.99,40.01,3647.49,3295.43
1997-12-26,3633.38,3651.42,3620.92,3620.92,0,3494.9,3657.28,-5.51,-43.98,65.2,3699.78,3290.02
1998-01-02,3719.85,3739.38,3701.4,3704.47,0,3527.15,3617.93,33.23,0.88,81.25,3795.64,3258.67
1998-01-09,3530.2,3579.24,3514.99,3579.24,0,3590.41,3581.32,22.67,23.54,49.19,3831.92,3348.9
1998-01-16,3382.32,3398.97,3351.21,3373.1,0,3585.14,3541.99,-43.92,-10.76,24.41,3836.32,3333.97
1998-01-23,3351.21,3375.86,3340.31,3375.86,0,3537.54,3516.14,-53.78,-35.39,21.95,3826.81,3248.27
1998-02-03,3354.88,3363.33,3326.17,3360.4,0,3437.63,3492.77,-71.83,-61.76,46.83,3737.52,3137.74
1998-02-10,3317.7,3351.5,3315.81,3345.18,0,3359.33,3475.46,-53.87,-59.68,35.14,3495.49,3223.17
1998-02-17,3413.36,3459.82,3403.49,3459.82,0,3351.72,3456.47,-27.37,-46.51,62.2,3495.42,3208.01
1998-02-24,3484.69,3484.73,3462.88,3481.46,0,3358.38,3460.76,3.73,-19.88,68.41,3512.17,3204.59
1998-03-05,3714.62,3771.66,3699.73,3699.73,0,3458.64,3487.64,74.67,30.02,81.28,3758.34,3158.94
1998-03-12,3716.5,3750.99,3694.28,3713.02,0,3562.55,3502.52,94.83,72.89,73.66,3915.4,3209.7
1998-03-20,3840.4,3840.72,3785.95,3802.01,0,3674.51,3515.41,100.08,90.39,72.91,3978.79,3370.23
1998-03-27,3908.6,3917.63,3861.18,3880.33,0,3795.59,3542.83,108.64,104.36,67.31,4001.26,3589.91
1998-04-03,4076.05,4078.38,4012.42,4012.72,0,3865.79,3599.9,108.76,103.87,78.03,4060.52,3671.06
1998-04-15,4192.5,4213.07,4119.26,4119.26,0,3964.72,3673.39,129.62,119.85,67.19,4230.68,3698.76
